Company,User-Agent,Type,notes
Google,Googlebot,seo,
Google,Googlebot-Image,,
Google,Googlebot-Video,,
Google,Googlebot-News,,
Google,Mediapartners-Google,,
Google,GoogleOther,research,
Google,Google-Extended,training,
Bing,Bingbot,seo,
BingAds,AdIdxBot,,
BingPreview,MicrosoftPreview,,
MicrosoftSearch,msnbot,seo,
Facebook,FacebookBot,training,
Twitter,TwitterBot,,
Discord,DiscordBot,,
Yahoo,Slurp,,
OpenAI,ChatGPT-User,,plugins
OpenAI,GPTBot,training,
Anthropic,anthropic-ai,training,
Anthropic,anthropicAi,training,
Common Crawl,CCBot,training,
Omigili ,Omgilibot,training,
